id,filepath,site
ZJ000000,train_features/ZJ000000.jpg,S0120
ZJ000001,train_features/ZJ000001.jpg,S0069
ZJ000002,train_features/ZJ000002.jpg,S0009
ZJ000003,train_features/ZJ000003.jpg,S0008
ZJ000004,train_features/ZJ000004.jpg,S0036
ZJ000005,train_features/ZJ000005.jpg,S0019
ZJ000006,train_features/ZJ000006.jpg,S0060
ZJ000007,train_features/ZJ000007.jpg,S0047
ZJ000008,train_features/ZJ000008.jpg,S0083
ZJ000009,train_features/ZJ000009.jpg,S0059
ZJ000010,train_features/ZJ000010.jpg,S0076
ZJ000011,train_features/ZJ000011.jpg,S0014
ZJ000012,train_features/ZJ000012.jpg,S0080
ZJ000013,train_features/ZJ000013.jpg,S0061
ZJ000014,train_features/ZJ000014.jpg,S0075
ZJ000015,train_features/ZJ000015.jpg,S0003
ZJ000016,train_features/ZJ000016.jpg,S0105
ZJ000017,train_features/ZJ000017.jpg,S0080
ZJ000018,train_features/ZJ000018.jpg,S0188
ZJ000019,train_features/ZJ000019.jpg,S0097
ZJ000020,train_features/ZJ000020.jpg,S0105
ZJ000021,train_features/ZJ000021.jpg,S0068
ZJ000022,train_features/ZJ000022.jpg,S0077
ZJ000023,train_features/ZJ000023.jpg,S0038
ZJ000024,train_features/ZJ000024.jpg,S0014
ZJ000025,train_features/ZJ000025.jpg,S0120
ZJ000026,train_features/ZJ000026.jpg,S0049
ZJ000027,train_features/ZJ000027.jpg,S0120
ZJ000028,train_features/ZJ000028.jpg,S0170
ZJ000029,train_features/ZJ000029.jpg,S0061
ZJ000030,train_features/ZJ000030.jpg,S0049
ZJ000031,train_features/ZJ000031.jpg,S0063
ZJ000032,train_features/ZJ000032.jpg,S0014
ZJ000033,train_features/ZJ000033.jpg,S0071
ZJ000034,train_features/ZJ000034.jpg,S0063
ZJ000035,train_features/ZJ000035.jpg,S0062
ZJ000036,train_features/ZJ000036.jpg,S0060
ZJ000037,train_features/ZJ000037.jpg,S0073
ZJ000038,train_features/ZJ000038.jpg,S0070
ZJ000039,train_features/ZJ000039.jpg,S0053
ZJ000040,train_features/ZJ000040.jpg,S0060
ZJ000041,train_features/ZJ000041.jpg,S0188
ZJ000042,train_features/ZJ000042.jpg,S0171
ZJ000043,train_features/ZJ000043.jpg,S0134
ZJ000044,train_features/ZJ000044.jpg,S0059
ZJ000045,train_features/ZJ000045.jpg,S0077
ZJ000046,train_features/ZJ000046.jpg,S0022
ZJ000047,train_features/ZJ000047.jpg,S0089
ZJ000048,train_features/ZJ000048.jpg,S0025
ZJ000049,train_features/ZJ000049.jpg,S0063
ZJ000050,train_features/ZJ000050.jpg,S0120
ZJ000051,train_features/ZJ000051.jpg,S0042
ZJ000052,train_features/ZJ000052.jpg,S0170
ZJ000053,train_features/ZJ000053.jpg,S0071
ZJ000054,train_features/ZJ000054.jpg,S0063
ZJ000055,train_features/ZJ000055.jpg,S0021
ZJ000056,train_features/ZJ000056.jpg,S0060
ZJ000057,train_features/ZJ000057.jpg,S0184
ZJ000058,train_features/ZJ000058.jpg,S0027
ZJ000059,train_features/ZJ000059.jpg,S0026
ZJ000060,train_features/ZJ000060.jpg,S0004
ZJ000061,train_features/ZJ000061.jpg,S0022
ZJ000062,train_features/ZJ000062.jpg,S0120
ZJ000063,train_features/ZJ000063.jpg,S0024
ZJ000064,train_features/ZJ000064.jpg,S0035
ZJ000065,train_features/ZJ000065.jpg,S0063
ZJ000066,train_features/ZJ000066.jpg,S0019
ZJ000067,train_features/ZJ000067.jpg,S0018
ZJ000068,train_features/ZJ000068.jpg,S0069
ZJ000069,train_features/ZJ000069.jpg,S0060
ZJ000070,train_features/ZJ000070.jpg,S0008
ZJ000071,train_features/ZJ000071.jpg,S0081
ZJ000072,train_features/ZJ000072.jpg,S0014
ZJ000073,train_features/ZJ000073.jpg,S0060
ZJ000074,train_features/ZJ000074.jpg,S0008
ZJ000075,train_features/ZJ000075.jpg,S0060
ZJ000076,train_features/ZJ000076.jpg,S0120
ZJ000077,train_features/ZJ000077.jpg,S0069
ZJ000078,train_features/ZJ000078.jpg,S0125
ZJ000079,train_features/ZJ000079.jpg,S0008
ZJ000080,train_features/ZJ000080.jpg,S0080
ZJ000081,train_features/ZJ000081.jpg,S0089
ZJ000082,train_features/ZJ000082.jpg,S0110
ZJ000083,train_features/ZJ000083.jpg,S0127
ZJ000084,train_features/ZJ000084.jpg,S0159
ZJ000085,train_features/ZJ000085.jpg,S0051
ZJ000086,train_features/ZJ000086.jpg,S0112
