id,antelope_duiker,bird,blank,civet_genet,hog,leopard,monkey_prosimian,rodent
ZJ000000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZJ000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZJ000004,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ZJ000005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ZJ000006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZJ000007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000008,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ZJ000009,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000010,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ZJ000011,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ZJ000012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZJ000013,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ZJ000014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZJ000015,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ZJ000016,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ZJ000017,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000018,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ZJ000019,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZJ000020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ZJ000021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZJ000022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000023,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ZJ000024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZJ000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZJ000026,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZJ000027,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZJ000028,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZJ000029,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ZJ000030,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000031,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZJ000032,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ZJ000033,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZJ000034,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZJ000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZJ000036,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZJ000037,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000038,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZJ000039,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000040,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZJ000041,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ZJ000042,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ZJ000043,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000044,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZJ000045,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ZJ000046,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ZJ000047,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZJ000048,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZJ000049,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZJ000051,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ZJ000052,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ZJ000053,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ZJ000054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZJ000055,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZJ000056,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZJ000057,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000058,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZJ000059,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZJ000060,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000061,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ZJ000062,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ZJ000063,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ZJ000064,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ZJ000065,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000066,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZJ000067,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZJ000069,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZJ000070,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ZJ000071,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000072,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ZJ000073,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZJ000074,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000075,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZJ000076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZJ000077,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZJ000078,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000079,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000080,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZJ000081,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000082,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ZJ000083,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZJ000084,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ZJ000085,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZJ000086,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ZJ000087,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000088,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000089,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZJ000090,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ZJ000091,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ZJ000092,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000093,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZJ000094,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZJ000096,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ZJ000097,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ZJ000098,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000099,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ZJ000100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ZJ000101,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000102,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ZJ000103,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZJ000104,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ZJ000105,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZJ000106,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ZJ000107,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ZJ000108,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ZJ000109,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ZJ000110,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ZJ000111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZJ000113,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZJ000114,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000115,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZJ000116,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZJ000117,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZJ000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZJ000119,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ZJ000120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZJ000121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ZJ000122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZJ000123,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000124,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZJ000127,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000128,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ZJ000129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZJ000131,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000132,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZJ000133,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZJ000134,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ZJ000135,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZJ000136,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZJ000137,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000138,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ZJ000139,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZJ000140,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000141,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ZJ000142,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ZJ000143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZJ000144,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ZJ000145,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZJ000147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZJ000148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZJ000149,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000150,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000151,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZJ000152,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ZJ000154,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000155,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ZJ000156,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ZJ000157,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJ000158,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZJ000159,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ZJ000160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
