id,filepath,site
ZJ015450,train_features/ZJ015450.jpg,S0003
ZJ009090,train_features/ZJ009090.jpg,S0150
ZJ007499,train_features/ZJ007499.jpg,S0085
ZJ010855,train_features/ZJ010855.jpg,S0062
ZJ012846,train_features/ZJ012846.jpg,S0002
ZJ014183,train_features/ZJ014183.jpg,S0089
ZJ007948,train_features/ZJ007948.jpg,S0122
ZJ000850,train_features/ZJ000850.jpg,S0167
ZJ003365,train_features/ZJ003365.jpg,S0184
ZJ007086,train_features/ZJ007086.jpg,S0060
ZJ011622,train_features/ZJ011622.jpg,S0047
ZJ000648,train_features/ZJ000648.jpg,S0184
ZJ002934,train_features/ZJ002934.jpg,S0073
ZJ010452,train_features/ZJ010452.jpg,S0008
ZJ006072,train_features/ZJ006072.jpg,S0083
ZJ015358,train_features/ZJ015358.jpg,S0014
ZJ014957,train_features/ZJ014957.jpg,S0036
ZJ014164,train_features/ZJ014164.jpg,S0004
ZJ016376,train_features/ZJ016376.jpg,S0047
ZJ015065,train_features/ZJ015065.jpg,S0031
ZJ001669,train_features/ZJ001669.jpg,S0083
ZJ012060,train_features/ZJ012060.jpg,S0089
ZJ000131,train_features/ZJ000131.jpg,S0056
ZJ007827,train_features/ZJ007827.jpg,S0083
ZJ007397,train_features/ZJ007397.jpg,S0008
ZJ002095,train_features/ZJ002095.jpg,S0127
ZJ009316,train_features/ZJ009316.jpg,S0060
ZJ008705,train_features/ZJ008705.jpg,S0060
ZJ013562,train_features/ZJ013562.jpg,S0163
ZJ016393,train_features/ZJ016393.jpg,S0085
ZJ010388,train_features/ZJ010388.jpg,S0002
ZJ007217,train_features/ZJ007217.jpg,S0120
ZJ014119,train_features/ZJ014119.jpg,S0089
ZJ001573,train_features/ZJ001573.jpg,S0089
ZJ004645,train_features/ZJ004645.jpg,S0156
ZJ007776,train_features/ZJ007776.jpg,S0059
ZJ004768,train_features/ZJ004768.jpg,S0061
ZJ010741,train_features/ZJ010741.jpg,S0097
ZJ008054,train_features/ZJ008054.jpg,S0093
ZJ004480,train_features/ZJ004480.jpg,S0009
ZJ006533,train_features/ZJ006533.jpg,S0188
ZJ000320,train_features/ZJ000320.jpg,S0051
ZJ012912,train_features/ZJ012912.jpg,S0061
ZJ007958,train_features/ZJ007958.jpg,S0009
ZJ016118,train_features/ZJ016118.jpg,S0016
ZJ005742,train_features/ZJ005742.jpg,S0036
ZJ009959,train_features/ZJ009959.jpg,S0009
ZJ015407,train_features/ZJ015407.jpg,S0038
ZJ007453,train_features/ZJ007453.jpg,S0075
ZJ004543,train_features/ZJ004543.jpg,S0045
ZJ007200,train_features/ZJ007200.jpg,S0159
ZJ007409,train_features/ZJ007409.jpg,S0050
ZJ008981,train_features/ZJ008981.jpg,S0060
ZJ003934,train_features/ZJ003934.jpg,S0036
ZJ009539,train_features/ZJ009539.jpg,S0060
ZJ016025,train_features/ZJ016025.jpg,S0174
ZJ010697,train_features/ZJ010697.jpg,S0044
ZJ012322,train_features/ZJ012322.jpg,S0063
ZJ002696,train_features/ZJ002696.jpg,S0084
